广西	广西壮族自治区|广西省
广东	广东省
小(1)型 小1|小1型|小型
小(2)型	小2|小2型|小型
大(1)型	大1|大1型|大型
大(2)型	大2|大2型|大型
上银坑水库	上银坑
犁塘水库	犁塘
么塘水库	么塘
琅冲水库	琅冲
下桥水库	下桥
百六吞水库	百六吞
深龙水库	深龙
学斗塘水库	学斗塘
所在流域	所在湖泊|所在河流|流域
汕尾市	汕尾
河源市	河源
梧州市	梧州
河池市	河池
防城港市	防城港
钦州市	钦州
贵港市	贵港
陆丰县	陆丰
和平县	和平
藤县	藤县
岑溪市	岑溪
金城江区	金城江
上思县	上思
钦南区	钦南
覃塘区	覃塘
基金代码	基金编码|基金编号|代码
基金名称	基金简称|产品名称|名称
基金类型	基金类别
净值	单位净值|最新净值
风险等级	风险类型|风险评级|风评|风险高低|冒险等级|冒险
月收益率	最近一个月收益|近一个月收益|过去一个月收益|过去一个月收益率|过去一个月涨幅
去年年收益率	最近一年收益|近一年收益|过去一年收益|近一年涨幅|最近一年收益率
今年年收益率	今年以来收益|今年以来涨幅|今年以来的收益率
中风险	中等风险|风险适中
低风险	较低风险|风险低
姓名	名字|名称
